,Unnamed: 0,X,price,years_old,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,mileage,manufacturer_luxury,manufacturer_normal,condition_excellent,condition_fair,condition_good,condition_like new,condition_new,condition_salvage,cylinders_3 cylinders,cylinders_4 cylinders,cylinders_5 cylinders,cylinders_6 cylinders,cylinders_8 cylinders,cylinders_10 cylinders,cylinders_12 cylinders,cylinders_other,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,title_status_clean,title_status_lien,title_status_missing,title_status_parts only,title_status_rebuilt,title_status_salvage,transmission_automatic,transmission_manual,transmission_other,drive_4wd,drive_fwd,drive_rwd,size_compact,size_full-size,size_mid-size,size_sub-compact,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_SUV,type_truck,type_van,type_wagon,paint_color_black,paint_color_blue,paint_color_brown,paint_color_custom,paint_color_green,paint_color_grey,paint_color_orange,paint_color_purple,paint_color_red,paint_color_silver,paint_color_white,paint_color_yellow,mileage_average,mileage_high,mileage_low,mileage_vh,log_price
0,1,0,6000,16,normal,good,8 cylinders,gas,85841.0,lien,manual,rwd,mid-size,coupe,orange,very-high,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8.699514748210191
1,2,1,7650,8,normal,good,4 cylinders,gas,112000.0,clean,manual,fwd,mid-size,sedan,black,very-high,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.94246092682058
2,3,2,9850,10,luxury,good,6 cylinders,gas,129960.0,clean,automatic,4wd,full-size,SUV,silver,very-high,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9.19522673416613
3,4,3,12500,5,normal,good,4 cylinders,gas,97185.0,clean,automatic,rwd,full-size,SUV,silver,very-high,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9.43348392329039
4,5,4,7500,15,luxury,excellent,6 cylinders,gas,63500.0,clean,automatic,rwd,full-size,wagon,silver,very-high,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8.9226582995244
5,6,5,9950,10,normal,good,6 cylinders,gas,87360.0,clean,automatic,rwd,mid-size,truck,white,very-high,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.20532783015264
6,7,6,6900,13,normal,good,6 cylinders,gas,192000.0,clean,automatic,rwd,mid-size,pickup,black,very-high,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.83927669058535
7,8,7,17950,3,normal,good,6 cylinders,gas,47769.0,clean,automatic,fwd,mid-size,SUV,blue,high,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.79534539391642
8,9,8,23800,6,normal,like new,4 cylinders,gas,92000.0,clean,automatic,4wd,full-size,SUV,black,very-high,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0774408596596
9,10,9,6200,16,normal,excellent,6 cylinders,gas,119223.0,clean,automatic,rwd,mid-size,truck,black,very-high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.732304571033179
10,11,10,7499,9,normal,like new,4 cylinders,gas,107000.0,clean,automatic,fwd,compact,sedan,brown,very-high,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.92252495730139
11,12,11,43995,10,normal,like new,8 cylinders,gas,5354.0,clean,automatic,rwd,full-size,coupe,black,low,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.6918312700797
12,13,12,4200,13,normal,good,6 cylinders,gas,161982.0,clean,automatic,fwd,full-size,sedan,white,very-high,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8.34283980427146
13,14,13,10600,7,normal,excellent,4 cylinders,gas,82740.0,clean,manual,fwd,compact,coupe,white,very-high,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.26860928010016
14,15,14,55000,60,normal,good,8 cylinders,gas,350.0,clean,automatic,rwd,full-size,coupe,custom,low,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.9150884642146
15,16,15,8950,8,normal,good,4 cylinders,gas,136602.0,clean,automatic,fwd,compact,sedan,black,very-high,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.099408811268901
16,17,16,4450,14,normal,good,8 cylinders,gas,171952.0,clean,automatic,fwd,mid-size,sedan,black,very-high,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.40065937516029
